どくとく[独特]  독특
じょうとう[上等]  상등; 고급; 훌륭함
しょうどく[消毒]  소독
しょうとつ[衝突]  충돌
しょうち[承知]  알아들음; 들어줌; 동의; 용서
しょうにん[承認]  승인
じょうしょう[上昇]  상승
しょうはい[勝敗]  승패
ようし[要旨]  요지
とりいれる[取(り)入れる]  안에 넣다; 거두어들이다; 받아들이다; 도입하다
ようご[用語]  용어
ひつじゅひん[必需品]  필수품
ゆうしょう[優勝]  우승
しゅうぜん[修繕]  수선; 수리
しゅうせい[修正]  수정
じゅうたん[絨毯·絨緞]  융단
しゅうだん[集団]  집단; →だんたい
しゅうちゅう[集中]  집중; 그 작품집 중
しゅうちゃく[執着]  집착
じゅうてん[重点]  중점; 사물의 중요한 점; 지렛대로 움직이려 하는 물체의 무게가 작용하는 점
はん[反]  반대; 모반; 반역; …에 반대되는
しゅうにん[就任]  취임
とぶ[跳ぶ]  뛰다; 도약하다; 뛰어넘다
ともに[共に]  함께; 같이; 동시에; 또
じゅうやく[重役]  중역
ようき[容器]  용기
しゅうりょう[終了]  종료
ようがん[溶岩]  용암
じゅうりょう[重量]  중량; 무게; 무게가 무거움
じゅうりょく[重力]  중력
しゅぎ[主義]  주의
じゅくご[熟語]  숙어; 둘 이상의 한자가 결합하여 된 말; 둘 이상의 말이 결합하여 된 말
ようい[容易]  용이; 손쉬움
どっと  와; 우르르; 왈칵; 벌렁; 털썩
ようび[曜日]  요일
しゅご[主語]  주어; 주사
とっくに  훨씬 전에; 벌써
しゅしょう[首相]  수상
しゅざい[取材]  취재
-しゅ[手]  …수; 일·역할을 하는 사람
-しゅ[酒]  …주; …술
しゃべる[喋る]  지껄이다; 재잘거리다; 입 밖에 내다; 말하다; 수다떨다
しゃせい[写生]  사생
はんざい[犯罪]  범죄
しゃしょう[車掌]  차장
じゅう[重]  중; 중요한 것; 중…; …중
じゅう[銃]  총
しゅうかい[集会]  집회
しゅうかく[収穫]  수확; 농작물을 거두어들임; 얻음; 또, 얻은 것
はんこう[反抗]  반항
ばんざい[万歳]  만세; 언제까지나 살아서 번영하는 일; 축복하여  외치는 말
しゃれ[洒落]  신소리; 익살; 깔끔하고 재치가 있음; 멋부림; 성장
しゅうごう[集合]  집합; 한자리에 모음; 또, 그 모임
しゅうじ[習字]  습자; →しょしゃ
しゅうし[修士]  석사; 가톨릭의 수사
しゅう[州]  주; 나라; 행정 구획의 하나
しゅう[週]  주; 7일간
しゅう[集]  집; 시가·문장 등을 모은 서책
はんこ[判こ]  도장
じゅうだい[重大]  중대
じゅうたく[住宅]  주택
はんけい[半径]  반경; 반지름
じゅうたい[渋滞]  삽체; 정체; 밀림
じゅうたい[重体·重態]  중태
しゅうきん[集金]  집금; 수금
しゅうきょう[宗教]  종교
まわす[回す]  돌리다; 회전시키다; 차례로 돌리다
じみ[地味]  수수함; 검소함
しまった  아차; 아뿔싸; 모르는 사이에 저지른 실패
ほんの[本の]  그저 명색뿐인; 정말 그 정도밖에 못 되는; 정말의
ひ[灯]  불; 등불; →とう
-ひ[費]  …비; 비용
まあ  지금으로서는; 그럭저럭; 자; 뭐; 어머
はんのう[反応]  반응
ゆう[言う]  →いう
やわらかい[軟らかい]  연하다; 딱딱하지 않다; 온화하다; 온건하다
しゃ[社]  사; 신사·회사·신문사의 준말; 단체; 결사
はんだん[判断]  판단; 생각해서 확실한 결심을 내림; 점; 길흉의 판단
-しゃ[者]  …자; 사람
しゃかいかがく[社会科学]  사회 과학
はんとう[半島]  반도
じゃくてん[弱点]  약점
はんじ[判事]  판사
しゃっくり[吃逆·噦り]  딸꾹질
しゃっきん[借金]  차금; 돈을 꿈; 또, 꾼 돈
しゃぶる  입안에 넣고 핥다
じゃんけん[じゃん挙]  가위바위보
まねる[真似る]  흉내내다; 모방하다
ひかくてき[比較的]  비교적
じっかん[実感]  실감
しっき[湿気]  습기
むく[剝く]  벗기다; 까다; →むける
へん[編]  편; 편집; 편찬; 시문을 세는 말
したがって[従って]  따라서; 그러므로; 그 결과
じたく[自宅]  자택
はりきる[張り切る]  팽팽히 켕기다; 긴장하다; 힘이 넘치다
したまち[下町]  도시의 평지에 있는 상업 지역; 번화가
じち[自治]  자치; 스스로 처리함; 자연히 다스려짐
しつ[室]  실; 방; 귀인의 처
しつ[質]  질
じっけん[実験]  실험
はんえい[反映]  반영
はりがね[針金]  철사
ゆうこう[有効]  유효; 유익
じっし[実施]  실시
はらいこむ[払(い)込む]  납입하다; 돈을 붓다; 납부하다
じっさい[実際]  실제; 참으로; 정말로
じっせき[実績]  실적; 실제의 공적·성적·성과
じっしゅう[実習]  실습
じつぶつ[実物]  실물
じつよう[実用]  실용
-へん[遍]  …번; …회; 횟수·도수를 세는 말
じつれい[実例]  실례
まる[円]  원형; 또, 그런 모양의 것; 돈의 은어; 동그라미
はめる[塡める·嵌める]  끼우다; 끼다; 빠뜨리다; 속여 넘기다
はぶく[省く]  덜다; 생략하다; 줄이다; 없애다
ゆうのう[有能]  유능
しげん[資源]  자원
ほる[彫る]  새기다; 조각하다; 문신을 넣다
しげき[刺激]  자극
しげる[茂る]  초목이 무성하다; 빽빽히 들어차다
ししゅつ[支出]  지출
ぼん[盆]  쟁반; →うらぼん; 도박에서, 주사위를 던지는 곳
しこう[思考]  사고; 생각; 생각함; 주위 사태에 대응하여 과제를 해결해 나가는 과정
しせい[姿勢]  자세; 태도
しずまる[静まる]  가라앉다; 안정되다; 잠들다
じじつ[事実]  사실; 실제로 일어난, 또는 있는 일; 정말로; 참말로
じしゃく[磁石]  자석; 자철광; ‘磁石盤’의 준말
ししゃごにゅう[四捨五入]  사사오입; 반올림; →にしゃさんにゅう
しじゅう[始終]  시종; 자초지종; 처음부터 끝까지; 처음과 끝
ひきかえす[引(き)返す]  되돌아가다; 도서다; 되돌리다; 되찾다; 반대로 하다. 뒤집다
したい[死体]  사체; 시체
しだい[次第]  순서; 차차로; 점점; 되어 가는 대로; 하라는 대로
しそん[子孫]  자손
ひかく[比較]  비교
ぼんち[盆地]  분지
じしん[自身]  자신; 자기; 스스로; 그 자체; 그것
ほんと  →ほんとう
ひかげ[日陰]  응달; 음지; ‘ひかげのかずら’의 준말; ‘ひかげもの’의 준말
しぜんかがく[自然科学]  자연 과학
しそう[思想]  사상
はらはら  아슬아슬; 조마조마; 뚝뚝; 주르르
はら[原]  들; 벌판
はやる[流行る]  유행하다; 인기가 있다; 만연하다; 널리 퍼지다
しっぴつ[執筆]  집필
しっぽ[尻尾]  꼬리; 긴 것의 끝 부분
しつぼう[失望]  실망
じつに[実に]  실로; 참으로; 정말
ゆうしゅう[優秀]  우수
しばふ[芝生]  잔디밭
しはい[支配]  지배
はなれる[放れる]  놓이다; 풀리다; 발사되다
しばしば[数·屢·屢屢]  자주; 여러 번; 누차
みとめる[認める]  인정하다; 인지하다; 알아차리다; 판단하다
はなれる[離れる]  떨어지다; 붙어 있던 것이 따로 떨어지다; 거리가 멀어지다; 사이가 벌어지다
じばん[地盤]  지반
はへん[破片]  파편
ばね[発条·撥条]  용수철; 스프링; 계기
じどう[児童]  아동; 어린이; 특히, 소학교 학생
はね[羽根]  모감주에 구멍을 뚫어 새의 깃을 몇 개 꽂은 것; 배드민턴의 셔틀콕
はなよめ[花嫁]  신부; 새색시
しほん[資本]  자본
しぼむ[凋む·萎む]  시들다; 오므라지다
しぼる[絞る]  짜다; 물기를 빼다; 채액하다
しばい[芝居]  연극; 연기; 전하여, 계획적으로 남을 속이기 위한 꾸밈수
しめきる[締(め)切る]  전부 닫아 두다; 완전히 닫다; 오랫동안 꽉 닫아 둔 채로 두다; 마감하다
ゆいいつ[唯一]  유일
しめた  됐다
しめる[湿る]  축축해지다; 촉촉히 젖다; 물로 불이 꺼지다; 조용해지다; 쇠하다
しめる[占める]  차지하다; 자리 잡다; 영유하다; 얻다
ばんち[番地]  번지; 주소
しも[下]  아래; 허리 아래; 아랫도리; 하류
しも[霜]  서리; 흰머리; 냉장고의 냉각기 등의 겉에 생기는 얼음 결정; 성에
しま[縞]  줄무늬
しびれる[痺れる]  저리다; 마비되다; 황홀해지다; 넋을 잃다
しへい[紙幣]  지폐
ごらん[御覧]  보심; ‘…て御覧なさい’의 막된 말씨
ころ[頃·比]  때; 경; 시절; 시기; 계제
これら[此等·是等]  이들; 이것들
はか[墓]  묘; 뫼; 무덤
はいぶん[配分]  배분
やめる[辞める]  그만두다; 사직하다
ゆたか[豊か]  풍족함; 풍부함; 좋이 …은 더 됨; 넉넉함; 여유 있는 모양
ごめん[御免]  면허·공인·특허의 높임말; 면직의 높임말; 용서·사면의 높임말; 전하여, 방문·사과를 할 때의 인사말
ばつ  →ばってん
-はつ[発]  …발; 떠남의 뜻; 발신의 뜻
こんごう[混合]  혼합; 서로 섞임; →こんこう2
こん[紺]  감색
こんやく[婚約]  혼약; 약혼
はだぎ[肌着]  내의; 속옷
さ[差]  차; 차이; 차등; 뺄셈의 답
はっき[発揮]  발휘
こん-[今]  금…; 지금의; 오늘의
ほうげん[方言]  방언; 사투리; 은어; 변말
ざいがく[在学]  재학
ごじゅうおん[五十音]  かな의 50개 음
こころえる[心得る]  알다; 납득하다; 소양이 있다; 떠맡다
こしょう[胡椒]  후추나무; 후추; 후춧가루
こころあたり[心当(た)り]  짐작; 짐작 가는 곳; 짚이는 데
こたい[個体]  개체
こしかける[腰掛ける]  걸터앉다
こしかけ[腰掛(け)]  걸상; 임시로 몸담고 있음; 또, 그 직업·지위·장소
-はく[泊]  숙박 일수를 세는 말; …박
やぬし[家主]  가주; 한 집의 주인; 가장; 집주인; 셋집 주인
こっせつ[骨折]  골절
やど[宿]  사는 집; 묵을 곳; 숙소; 숙박
こす[超す]  넘다; 초과하다
こす[越す]  넘다; 넘어가다; 건너다; 이사하다
こしらえる[拵える]  만들다; 제조하다; 마련·장만하다
こする[擦る]  문지르다; 비비다
ことづける[言付ける]  전갈하다; 전언을 부탁하다
ごちそうさま[ご馳走様•御馳走様]  잘 먹었습니다
こっか[国家]  국가
ばくだい[ばく大]  막대
こづかい[小づかい·小遣(い)]  용돈
はいゆう[俳優]  배우
こっきょう[国境]  국경
はく[吐く]  토하다; 뱉다; 내뿜다
こてん[古典]  고전
こと[琴]  거문고
-ごと[毎]  …마다
ことなる[異なる]  다르다; 같지 않다
ことばづかい[言葉遣い]  말씨; 말투
こな[粉]  가루; 분말; 특히, 밀가루
こないだ[此間]  →このあいだ
ことわざ[諺]  속담; 이언
やとう[雇う]  고용하다; 세내다
こむぎ[小麦]  소맥; 밀
やっつける[遣っ付ける]  해치우다; ‘やる·する’의 힘줌말; 해서 끝내다; 혼내 주다; 훌닦다
まれ[希·稀]  드묾; 희소함; 좀처럼 없음
ごぶさた[御無沙汰]  오랫동안 격조함; 무소식
はかる[計る]  상의하다; 헤아리다; 가늠하다; 세다
はえる[生える]  나다
ばか[馬鹿·莫迦]  어리석음; 바보; 썩 상식적이 아닌 일; 또, 그런 사람; 쓸모없음; 어처구니없음
こや[小屋]  소옥; 오두막집; 작고 초라한 집; 임시로 세운 작은 건물; 가옥
こめる[込める]  속에 넣다; 재다; 온통 자욱이 끼다
こらえる[堪える·怺える]  참다; 견디다; 용서하다
ごらく[娯楽]  오락
さつえい[撮影]  촬영
はで[派手]  화려한 모양; 사람 눈을 끌 정도로 심하게 무엇을 하는 모양
ゆうり[有利]  유리
さじ[匙]  숟가락; 약을 조제함
さばく[砂漠]  사막
さび[錆·銹]  녹; 나쁜 결과
さす[刺す]  찌르다; 쏘다; 물다; 누비다
ゆかた[浴衣]  목욕을 한 뒤 또는 여름철에 입는 무명 홑옷
さす[指す]  가리키다; 지적하다; 향하다; 목표로 하다; 재다
さす[挿す]  꽂다; 끼우다; 꺾꽂이하다; 꽃꽂이하다
さす[射す]  비치다
さす[注す]  붓다; 따르다; 도장을 찍다; 칠하다
さすが[遉·流石]  그렇다고는 하나; 뭐라고 해도; 과연; 자타가 공인할 정도의; 그 대단한
みつめる[見詰める]  응시하다; 주시하다
はねる[跳ねる]  뛰다; 뛰어오르다; 튀다; 터지다; 그날의 흥행이 끝나다; 종연하다
さつ[札]  지폐
はなす[放す]  놓다; 풀어놓다; 놓아주다; 넣다
さゆう[左右]  좌우; 곁; 측근; 좌우함; 좌지우지함
さっそく[早速]  즉시
はっしゃ[発射]  발사
ひとしい[等しい]  같다; 동등하다; 한결같이; 다 같이; …자마자; …과 동시에
ざつだん[雑談]  잡담
さて[扠·扨·偖·却説]  막상; 정작 …때가 되면; 그런데; 자
さわやか[爽やか]  시원한 모양; 상쾌한 모양; 산뜻한 모양
さびる[錆びる]  녹나다; 녹슬다; 차분하게 가라앉은 목소리로 변하다
はっくつ[発掘]  발굴
さべつ[差別]  차별
さほう[作法]  예의범절; 작법; 만드는 법.; 법식; 관례
さまざま[様様]  여러 가지; 가지각색
はなはだしい[甚だしい]  심하다; 대단하다
ひょうろん[評論]  평론
さまたげる[妨げる]  방해하다; 지장을 주다; 허락의 뜻을 나타냄
ざぶとん[座布団]  방석
はなす[離す]  떼다; 풀다; 옮기다
まもなく[間も無く]  이윽고; 곧; 머지않아
ゆうゆう[悠悠]  유유; 한가하고 근심 없는 모양; 느긋한 모양; 충분히 여유가 있는 모양
こんだて[献立]  식단; 메뉴; 준비
こんなん[困難]  곤란
こんにち[今日]  금일; 오늘; 오늘날; 요즘
はたして[果(た)して]  과연; 생각한 바와 같이; 역시; 예상한 대로; 말 그대로
はだか[裸]  알몸; 맨몸; 발가숭이; 무일푼
さいさん[再三]  재삼; 두 번 세 번; 여러 번
ざいさん[財産]  재산
さいしゅう[最終]  최종; 맨 나중; ‘最終列車’ ‘最終電車’ ‘最終バス’의 준말; 막차
さい[際]  때; 기회; 경계; 끝
さい[最]  가장 정도가 높은 모양
はだ[肌]  피부; 살; 거죽; 겉; 껍질
やせい[野生]  야생; 소생
さいなん[災難]  재난
はずれる[外れる]  빠지다; 벗겨지다; 풀어지다; 누락되다; 제외되다
はた[旗]  기; 깃발; →たこ; ‘はたうり’의 준말
さいわい[幸い]  다행; 행복; 다행히; 좋은 결과가 되도록 작용함
さいちゅう[最中]  한창; 한중간
さいそく[催促]  재촉; 독촉
さいばん[裁判]  재판
さいほう[裁縫]  재봉; 바느질
やすい[易い]  쉽다; 간단하다; …하기 쉽다
ざいもく[材木]  재목; 목재
さかい[境]  경계; 갈림길; 기로; 땅; 장소
さかさ[逆さ]  ‘さかさま’의 준말
さかさま[逆様]  거꾸로 됨; 반대로 됨; 역
さかのぼる[遡る·溯る]  거슬러 올라가다; 흐름과 반대로 올라가다; 소급하다
さかば[酒場]  술집; 바
さからう[逆らう]  거스르다; 거슬러 나아가다; 거역하다; 반항하다
さかり[盛り]  한창; 발정; 암내
やぶく[破く]  찢다
さきほど[先程]  아까; 조금 전
はしご[梯子·梯]  사다리; ‘はしご酒’의 준말
ゆげ[湯気]  김; 수증기; 목욕하다 일어나는 뇌빈혈
さく[昨]  어제; 지난날; 작…; 지난
べんじょ[便所]  변소; 뒷간
さくいん[索引]  색인; 인덱스
はぐるま[歯車]  톱니바퀴; 전체를 구성하고 있는 개개의 요소나 요원
さくじょ[削除]  삭제
さくせい[作成]  작성
さくせい[作製]  제작; 만듦
はす[斜]  비스듬함; 경사
やじるし[矢印]  화살표; 사수를 밝히려고 화살에 표시한 가문이나 이름
さくもつ[作物]  작물; 농작물
さぐる[探る]  뒤지다; 더듬어 찾다; 탐지하다; 살피다
さけ[酒]  술
べっそう[別荘]  별장; 교도소
はなしかける[話しかける]  이야기를 걸다; 이야기를 시작하다; 또, 중간까지 이야기하다
ささえる[支える]  버티다; 떠받치다; 유지하다; 지탱하다
ささやく[囁く]  속삭이다; 소곤거리다; 바람·물·강 따위가 작은 소리를 내다; 솔솔 불다
ささる[刺さる]  박히다; 꽂히다; 찔리다
ざしき[座敷]  다다미방; 특히, 객실; 잔치 좌석; 접객 또는 연회의 시간; 또, 그 접대
ゆかい[愉快]  유쾌
さしつかえ[差(し)支え]  지장; 지장되는 일
さしみ[刺(し)身]  생선회
ざつおん[雑音]  잡음; 소음; 잡소리
まるで[丸で]  마치; 꼭; 전혀; 전연
ゆくえ[行方]  행방; 갈 곳; 장래; 전도
はっこう[発行]  발행
さらに[更に]  그 위에; 더욱더; 다시; 거듭; 조금도; 도무지
さわがしい[騒がしい]  시끄럽다; 소란하다; 뒤숭숭하다; 불온하다
-さん[様]  →さま
はち[鉢]  주발; 사발; 화분; 바리때 비슷한 용기
みだれる[乱れる]  어지러워지다; 흐트러지다; 혼란해지다
ゆずる[譲る]  양도하다; 물려주다; 빼앗기다
さんこう[参考]  참고
ゆけつ[輸血]  수혈
ゆそう[輸送]  수송
さんせい[酸性]  산성
さんそ[酸素]  산소
さんち[産地]  산지
さんりん[山林]  산림; 산과 숲; 산속의 숲
し[史]  사; 역사
ひきわけ[引(き)分け·引分]  갈라 놓음; 떼어 놓음; 비김; 무승부
ばっする[罰する]  벌하다; 벌주다; 처벌하다
し[氏]  씨; …씨; 성에 붙이는 존칭
-し[紙]  …지; 종이; 신문
-じ[寺]  …사; 절
ひく[轢く]  치다
しあさって[明明後日]  글피
まぜる[交ぜる]  섞다
ひきょう[卑怯]  비겁
ひじょう[非常]  비상; 보통이 아님; 평소 때와 다름; 심상치 않음
じえい[自衛]  자위
ジェットき[ジェット機]  제트기
ぼろ[襤褸]  넝마; 누더기; 낡은 것; 고물; 허술한 데; 결점
ひざ[膝]  무릎
しかく[四角]  사각; 네모진 모양; 사각형; 정연함; 모가 남
しかくい  네모지다; 모지고 울퉁불퉁하다; 둥근 맛이 적다
ほる[掘る]  파다; 구멍을 뚫다; 캐다; →ほれる
ひきとめる[引(き)止める·引(き)留める]  만류하다; 말리다
しき  기껏해야 …정도; 겨우 …만큼
じき[直]  직접; 직…; 곧; 바로
じき[時期]  시기; 때; 계절; 기간
しかも[然も·而も]  그 위에; 게다가; 그럼에도 불구하고; 그런데도; 그렇게도; 그토록; 그렇게까지
しく[敷く]  깔다; 널리 깔리다; 퍼지다
しきりに[頻りに·切りに]  자꾸만; 자주; 계속적으로; 끊임없이; 열심히; 몹시
じかに[直に]  직접
ぼんやり  어렴풋이; 아련히; 멀거니; 멍청히; 멍텅구리
しきち[敷地]  부지; 대지
しきゅう[支給]  지급
しきゅう[至急]  지급
じさん[持参]  지참
じさつ[自殺]  자살
きれ[切れ]  자른 결과 생긴 작은 물건; 조각; 토막; 점
きりつ[規律·紀律]  규율; 기율; 전하여, 질서
きれる[切れる]  끊어지다; 잘라 지다; 무너지다; 터지다; 떨어지다; 다 되다
ほしょう[保証]  보증
ぎろん[議論]  의론
ぎん[銀]  은; ‘銀賞’ ‘銀メダル’의 준말; ‘銀将’의 준말
ねんど[年度]  연도
ほう[法]  법; 법률; 규칙; …법
きんがく[金額]  금액
きんこ[金庫]  금고
ぽい  홱; →ぽいと
くぎ[釘]  못
くぎる[区切る·句切る]  단락을 짓다; 구획 짓다
ねらい[狙い]  겨눔; 겨냥; 표적; 목적
くさり[鎖]  사슬; 잇는 것; 연계
やくめ[役目]  임무; 책임; 직무
くし[櫛]  빗
ねまき[寝巻(き)·寝間着]  잠옷
ねびき[値引き]  값을 깎음; 깎아 줌; →ねさげ
くじょう[苦情]  괴로운 사정; 고충; 불평; 불만
くっつく  들러붙다; 달라붙다; 남녀가 정식 아닌 부부 관계를 맺다
くっつける  붙이다; 들러붙게 하다; 자기 편으로 만들다; 붙여주다
ね[根]  뿌리; 근본; 근원; 마음속
くだ[管]  관; 속이 빈 둥근 막대; 대롱; 가락; 북의 실꾸리 대
くずれる[崩れる]  무너지다; 허물어지다; 붕괴하다; 흐트러지다
やくにん[役人]  관리; 공무원
ぐたい[具体]  구체
くだく[砕く]  부수다; 깨뜨리다; 바수다; →くだける
くだける[砕ける]  부서지다; 깨지다; 꺾이다; 좌절하다; 스스럼없는 태도가 되다; 딱딱하지 않고 친근한 분위기가 되다
ねじる[捩る·捻る·拗る]  비틀다; 뒤틀다; 쥐어짜다; 틀다; 죄다
ねじ[捻子·捩子·螺子·螺旋]  나사; 나삿니; 태엽 감는 장치; 또, 태엽
やくひん[薬品]  약품
やっかい[厄介]  귀찮음; 성가심; 폐; 신세; 시중; 돌봄
ほうき[箒·帚]  비
ね  …요; …군요; …하여 주게; …하여 주오; 응
くちびる[唇]  입술
くつう[苦痛]  고통
よゆう[余裕]  여유
よっぱらい[酔(っ)払い]  술 취한 사람; 술주정꾼; 취한
くむ[汲む]  푸다; 퍼 올리다; 이어받다
くむ[酌む]  따라서 마시다; 추측하다; 참작하다
くむ[組む]  엇걸다; 끼다; 짜다
きんちょう[緊張]  긴장
きんにく[筋肉]  근육
きんじる[禁じる]  →きんずる
くう[食う]  먹다; 생활하다; 살아가다; 좀이 먹다; 쏠다
くう[空]  하늘; 허공; 빔; 공허함; 공; 인연이 이룬 가상으로서의 실체가 없음
きんぞく[金属]  금속; 쇠붙이
きんせん[金銭]  금전; 돈; 화폐
きんだい[近代]  근대; 현대에 가까운 시대
ぐうすう[偶数]  우수; 짝수
くうちゅう[空中]  공중; 천공
きんよう[金曜]  금요
きんゆう[金融]  금융
く[九]  구; 아홉
く[句]  구; 글의 구절; 俳句 등을 세는 말
ぐうぜん[偶然]  우연히; 우연
くうそう[空想]  공상; →むそう
くしん[苦心]  고심
くず[屑]  쓰레기; 지스러기; 부스러기
くずす[崩す]  무너뜨리다; 무느다; 흩뜨리다
ぎょうぎ[行儀]  예의범절; 예절; 순서
きょうきゅう[供給]  공급
きょうぎ[競技]  경기
きょうふ[恐怖]  공포
きょうよう[教養]  교양
てぬぐい[手ぬぐい]  수건
きょうしゅく[恐縮]  공축; 남의 후의나, 남에게 끼친 폐에 대해 죄송스럽게 여김; 졌다고 인정함
きょくせん[曲線]  곡선
てってい[徹底]  철저
きょうちょう[協調]  협조
きょうどう[共同]  공동
きょだい[巨大]  거대
てつづき[手続(き)]  수속; 절차
きょうりょく[強力]  강력; 폭력
ぎょうれつ[行列]  행렬; 숫자나 문자를 직사각형이나 정사각형으로 늘어 놓은 것; 또, 그 연산; 줄을 섬; 또, 그 줄
もともと[元元·本本]  본디부터; 원래
ぎょぎょう[漁業]  어업
きょく[局]  국; 관청·회사 등의 사무를 분담하고 있는 곳; ‘郵便局’·‘電話局’·‘放送局’ 따위의 준말
きらう[嫌う]  싫어하다; 좋아하지 않다; 미워하다; 빼버리다; 제거하다
きり[霧]  안개; 안개같이 내뿜는 물이나 액체
きゅうしゅう[吸収]  흡수
きゅうじょ[救助]  구조
きゅうそく[休息]  휴식; 잠깐 쉼; 중지함; 중단함
てんけい[典型]  전형
ほこり[誇り]  자랑; 긍지; 명예로움
でんき[伝記]  전기
てらす[照(ら)す]  빛을 비추다; 비추어 밝히다; 비추어 보다; 대조하다
てんかい[展開]  전개; 타개
きゅうこう[休講]  휴강
てる[照る]  비치다; 아름답게 빛나다; 개다
ぎょう[業]  업; 학문; 공부; 일; 근무
もとづく[基づく]  기초를 두다; 의거하다; 기인하다
もとめる[求める]  구하다; 바라다; 요구하다; 청하다
きょうかい[境界]  경계
きょうさん[共産]  공산; 재산을 공동으로 소유함; ‘共産主義’ ‘共産党’의 준말
でむかえ[出迎え]  출영; 마중; 나가 영접함
てま[手間]  품; 수고; ‘手間賃’의 준말; ‘手間仕事’의 준말
きよい[清い]  맑다; 깨끗하다; 청렴결백하다; 몽땅; 깨끗이
-きょう[教]  …교; 교파
きよう[器用]  재주가 있음; 약삭빠르게 처신함; 요령이 좋음
きっぱり  딱 잘라; 단호히
きのう[機能]  기능
きのどく[気の毒]  딱함; 가엾음; 미안스러움; 멋쩍음
てきど[適度]  적당한 정도
きふ[寄付·寄附]  기부
きばん[基盤]  기반
きほん[基本]  기본
ていし[停止]  정지
きぼ[規模]  규모; 올바른 예; 본보기
ぎむ[義務]  의무
きみ[気味]  기미; 경향; 기분; 풍미; 재미
きみょう[奇妙]  기묘; 이상
もみじ[紅葉]  단풍; ‘かえで’의 딴 이름; 사슴 고기
きゃくま[客間]  응접실; 객실
きゃくせき[客席]  객석
きゅう[球]  둥근 물체; 공; 구; …구
きゅう[級]  급; 등급; …급; 어떤 규정에 정해진 정도·단계 등을 나타내는 말
きゅう[旧]  그전의 상태; 본디 상태; ‘旧暦’의 준말; 음력; 구…
ものおと[物音]  소리
てんすう[点数]  점수; 득점수; 물건의 수
てんこう[天候]  천후; 기후; 날씨
きゅうげき[急激·急劇]  급격
ていこう[抵抗]  저항
てつ[鉄]  철; 쇠
きし[岸]  물가; 벼랑; 낭떠러지
きそ[基礎]  기초
きじ[生地]  본연 그대로의 성질; 본바탕; 옷감; 천; 유약을 바르기 전의 도자기; 소태
てちょう[手帳]  수첩
ぎしき[儀式]  의식
でたらめ[出鱈目]  엉터리; 함부로 함; 되는 대로임
ぎし[技師]  기사
きじゅん[規準]  규준; 규범이 되는 표준; 범례나 규칙
きしょう[起床]  기상
きじゅん[基準]  기준
ですから  그러니까; 그래서
きせる[着せる]  입히다; 입히다; →きる; 싸다; 도금하다
きせい[規制]  규제
ものすごい[物すごい]  무섭다; 끔찍하다; 굉장하다; 대단하다
きち[基地]  기지
ていど[程度]  정도; 얼마 가량의 분량; 수준
きちょう[貴重]  귀중
ぎちょう[議長]  의장
ものごと[物事]  물건과 일; 일체의 사물
もと[素]  만물이 생기는 바탕; 원질; 원료
きっかけ[切っ掛け]  시작; 시초; 동기; 계기; 표지; 부호
もっとも[尤も]  지당함; 사리에 맞음; 그렇다고는 하지만; 하긴
てきせつ[適切]  적절
てきよう[適用]  적용
てっきょう[鉄橋]  철교
き[器]  →うつわ; 기; 간단한 도구
き[機]  시기; 기회; 기계; …기
き[期]  때; 기회; …기; 일정한 시기; 기간
きあつ[気圧]  기압; 대기의 압력
きいろ[黄色]  황색; 노랑
-てき[的]  …적; 명사에 붙어 경향·성질·상태를 나타냄; …에 대한; …에 관한
できあがり[出来上(が)り]  완성함; 다 됨; 됨됨이; 만듦새
きがえ[着替え]  옷을 갈아입음; 또, 갈아입을 옷
ぎかい[議会]  의회
きかんしゃ[機関車]  기관차; →けんいんしゃ
てき[敵]  적; 전쟁·경쟁을 하거나 원한을 품은 상대; 해롭거나 방해가 되는 자로서 없애버리고 싶은 존재
きかん[機関]  기관
きぎょう[企業]  기업
ききん[飢饉·饑饉]  기근
きき[危機]  위기
きぐ[器具]  기구
きげん[期限]  기한
きげん[機嫌]  기분; 비위; 기분이 좋음; 남의 안부
きこう[気候]  기후
きごう[記号]  기호
でくわす[出くわす]  만나다; 맞닥뜨리다
てつや[徹夜]  철야; 밤새움
てっぽう[鉄砲]  총; 총포류; 총포와 비슷한 것; 목욕탕에 장치된 불을 때는 쇠통
かんそく[観測]  관측
かんびょう[看病]  간병; 병구완; 간호
てきする[適する]  알맞다; 적당하다; 합당하다
かんたい[寒帯]  한대
かんちがい[勘違い]  착각; 잘못 생각함
かんちょう[官庁]  관청
かんづめ[缶詰(め)]  통조림; 협소한 장소에  사람을 가두고 외부와의 접촉을 단절함
まんいち[万一]  만일; 만에 하나; 만약
かんでんち[乾電池]  건전지
かんり[管理]  관리
かんとく[監督]  감독
かんねん[観念]  각오; 단념; 관념
てきかく[適確]  적확; 틀림이 없음; 확실
てきかく[的確]  적확; 딱 들어맞음
かんばん[看板]  간판; 상호·옥호 등을 내다는 것; 전하여, 남의 주의를 끌기 위한 것; 겉보기·허울뿐인 것
かんむり[冠]  관; 성이 나 있다; 기분이 언짢다; 한자의 윗머리
きおく[記憶]  기억
ぎいん[議員]  의원
かんわ[漢和]  한화; 중국어와 일본어; ‘漢和辞典’의 준말
もむ[揉む]  비비다; 문질러 비비대다; 구기다
かんれん[関連]  관련
みせや[店屋]  상점; 가게
ぐん[軍]  군; 병의 집단; 군대; 팀
